job_id,job_title,skills,years_exp_num,experience_level,company,mandatory_qualification
IT-1,Software Engineer,"java, c#, git, sql",11,Mid-Senior level,EY,Any
IT-2,Software Engineer,"sql, git, c#, python, java",10,Mid-Senior level,Stripe,Any
IT-3,Software Engineer,"c#, sql, git, java",10,Mid-Senior level,Infosys,Any
IT-4,Senior Software Engineer,"aws, microservices, git, python",20,Senior,Salesforce,Any
IT-5,Senior Software Engineer,"java, microservices, aws, c++, python, git",15,Senior,Tesla,Any
IT-6,Senior Software Engineer,"java, sql, microservices, python",20,Senior,Figma,Any
IT-7,Full Stack Developer,"react, mongodb, html, javascript",10,Mid-Senior level,GitHub,Any
IT-8,Full Stack Developer,"sql, node.js, react, javascript, css, mongodb",3,Junior,Microsoft,Any
IT-9,Full Stack Developer,"sql, mongodb, react, css",7,Mid-level,Amazon,Any
IT-10,Frontend Developer,"javascript, webpack, html, vue",4,Junior,Shopify,Any
IT-11,Frontend Developer,"webpack, css, html, react, javascript, vue, angular",10,Mid-Senior level,Apple,Any
IT-12,Frontend Developer,"javascript, vue, webpack, angular, html, css",8,Mid-level,Broadcom,Any
IT-13,Backend Developer,"python, rest api, mongodb, microservices, java, sql",11,Mid-Senior level,Elastic,Any
IT-14,Backend Developer,"mongodb, python, node.js, rest api, java, sql, microservices",5,Mid-level,Cisco,Any
IT-15,Backend Developer,"microservices, sql, mongodb, python",4,Junior,Databricks,Any
IT-16,Web Developer,"wordpress, javascript, sql, css, php",7,Mid-level,IBM,Any
IT-17,Web Developer,"html, javascript, sql, wordpress, php",11,Mid-Senior level,GitHub,Any
IT-18,Web Developer,"php, wordpress, sql, html, javascript",11,Mid-Senior level,Palantir,Any
IT-19,Mobile Developer,"flutter, swift, java, kotlin",13,Mid-Senior level,Qualcomm,Any
IT-20,Mobile Developer,"java, kotlin, sql, swift",5,Mid-level,LinkedIn,Any
IT-21,Mobile Developer,"sql, flutter, kotlin, swift, react native",4,Junior,SendGrid,Any
IT-22,iOS Developer,"xcode, swift, cocoapods, git",12,Mid-Senior level,Canva,Any
IT-23,iOS Developer,"xcode, cocoapods, swift, objective-c",3,Junior,Slack,Any
IT-24,iOS Developer,"xcode, git, objective-c, cocoapods, swift",5,Mid-level,Stripe,Any
IT-25,Android Developer,"android studio, kotlin, firebase, java",11,Mid-Senior level,HCL,Any
IT-26,Android Developer,"firebase, kotlin, java, android studio",10,Mid-Senior level,EY,Any
IT-27,Android Developer,"android studio, kotlin, sqlite, java",2,Junior,Toast,Any
IT-28,Game Developer,"graphics, c#, c++, unreal engine, unity",10,Mid-Senior level,IBM,Any
IT-29,Game Developer,"unity, graphics, unreal engine, c++, c#",3,Junior,Google,Any
IT-30,Game Developer,"graphics, c++, unity, unreal engine",3,Junior,Spotify,Any
IT-31,Embedded Systems Engineer,"embedded linux, assembly, c++, c, microcontrollers",4,Junior,Tech Mahindra,Any
IT-32,Embedded Systems Engineer,"embedded linux, assembly, microcontrollers, c",3,Junior,McKinsey,Any
IT-33,Embedded Systems Engineer,"embedded linux, microcontrollers, c, assembly",7,Mid-level,GitHub,Any
IT-34,DevOps Engineer,"aws, linux, docker, jenkins, kubernetes, ci/cd, terraform",3,Junior,Square,Any
IT-35,DevOps Engineer,"kubernetes, ci/cd, jenkins, aws, docker",6,Mid-level,JetBrains,Any
IT-36,DevOps Engineer,"jenkins, linux, terraform, ci/cd, docker, kubernetes, aws",11,Mid-Senior level,Oracle,Any
