job_id,job_title,skills,years_exp_num,experience_level,company,mandatory_qualification
G1,Software Engineer,"c#, java",8,Mid-level,Global Tech Solutions,Any
G2,Web Developer,"html, css, javascript",5,Junior,Global Tech Solutions,Any
A1,AI Researcher,"python, pytorch",14,Senior,AI Corp,Any
A2,Data Scientist,"r, sql",12,Mid-Senior level,Data Insights,Any
S-0,Project Manager,"scala, ai, ui, excel, ml",9,Mid-level,Wipro,Any
S-1,Project Manager,"scala, ai, ui, excel, ml",14,Senior,Wipro,Any
S-2,Project Manager,"scala, ai, ui, excel, ml",6,Mid-level,Wipro,Any
S-3,Administrator,"scala, ai, ui, excel",8,Mid-level,Wipro,Any
S-4,Project Manager,"scala, ai, ui, excel, ml",11,Mid-Senior level,Wipro,Any
S-5,Administrator,"scala, ai, ui, excel",4,Junior,Wipro,Any
S-6,Administrator,"scala, ai, ui, excel",8,Mid-level,Wipro,Any
S-7,Test Engineer,"ai, ui, excel",12,Mid-Senior level,Wipro,Any
S-8,Administrator,"scala, ai, ui, excel",12,Mid-Senior level,Wipro,Any
S-9,Administrator,"scala, ai, ui, excel",9,Mid-level,Wipro,Any
S-10,Service Level Manager,"ai, ui, excel",6,Mid-level,Wipro,Any
S-11,Administrator,"scala, ai, ui, excel",5,Junior,Wipro,Any
S-12,Project Manager,"scala, ai, ui, excel, ml",9,Mid-level,Wipro,Any
S-13,System Engineer,"scala, ai, ui, excel",9,Mid-level,Wipro,Any
S-14,Test Engineer,"ai, ui, excel",4,Junior,Wipro,Any
S-15,System Engineer,"scala, ai, ui, excel",7,Mid-level,Wipro,Any
S-16,Project Manager,"scala, ai, ui, excel, ml",6,Mid-level,Wipro,Any
S-17,Lead Administrator,"scala, ai, ui, excel",3,Junior,Wipro,Any
S-18,Lead Administrator,"python, sql, mongodb, ai",9,Mid-level,Wipro,Any
S-19,Business Analyst,"ai, ui, excel, ml",13,Senior,Wipro,Any
S-20,Project Manager,"scala, ai, ui, ml",15,Senior,Wipro,Any
S-21,Project Manager,"scala, ai, ui, excel, ml",7,Mid-level,Wipro,Any
S-22,Technical Lead,"scala, ai, ui, excel, ml",3,Junior,Wipro,Any
S-23,Business Analyst,"ai, ui",13,Senior,Wipro,Any
S-24,Developer,"ai, ui, excel",6,Mid-level,Wipro,Any
S-25,Lead Administrator,"scala, ai, ui, excel",2,Entry level,Wipro,Any
S-26,Technical Lead,"scala, ai, ui, excel, ml",13,Senior,Wipro,Any
S-27,Developer,"ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-28,Developer,"ai, ui",7,Mid-level,Wipro,Any
S-29,Project Lead,"ai, ui",14,Senior,Wipro,Any
S-30,Project Lead,"ai, ui",13,Senior,Wipro,Any
S-31,Consultant-Technology & Implementation,"ai, ui, excel",10,Mid-level,Wipro,Any
S-32,DevOps Engineer,"scala, ai, ui, excel, ml",2,Entry level,Wipro,Any
S-33,Delivery Manager,"scala, ai, ui, excel, ml",12,Mid-Senior level,Wipro,Any
S-34,Delivery Assurance Manager,"scala, ai, ui, excel",12,Mid-Senior level,Wipro,Any
S-35,Developer,"ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-36,Test Engineer,"ai, ui, excel",13,Senior,Wipro,Any
S-37,DevOps Engineer,"scala, ai, ui, excel, ml",13,Senior,Wipro,Any
S-38,Project Manager,"java, ai, ui, selenium",15,Senior,Wipro,Any
S-39,Administrator,"scala, ai, ui, excel",15,Senior,Wipro,Any
S-40,Product Marketing Manager,"ai, ui, excel",15,Senior,Wipro,Any
S-41,Pre-sales consultant,"scala, ai, ui",4,Junior,Wipro,Any
S-42,Cyber Security Analyst,"scala, ai, ui",13,Senior,Wipro,Any
S-43,Delivery Manager,"scala, ai, ui, excel",8,Mid-level,Wipro,Any
S-44,Technical Lead,"scala, ai, ui, excel, ml",5,Junior,Wipro,Any
S-45,Lead Administrator,"scala, ai, ui, excel",10,Mid-level,Wipro,Any
S-46,Cyber Security Analyst,"scala, ai, ui, excel",4,Junior,Wipro,Any
S-47,Program Manager (PM),"ai, ui, excel",6,Mid-level,Wipro,Any
S-48,Cyber Security Analyst,"scala, ai, ui, excel",4,Junior,Wipro,Any
S-49,Administrator,"scala, ai, ui, excel",8,Mid-level,Wipro,Any
S-50,Project Lead,"ai, ui",6,Mid-level,Wipro,Any
S-51,Developer,"java, sql, css, javascript, react, ui, nodejs, html, ml",10,Mid-level,Wipro,Any
S-52,Manager – Learning and Development (I&D),"ai, ui, excel",8,Mid-level,Wipro,Any
S-53,Cyber Security Analyst,"scala, ai, ui, excel",3,Junior,Wipro,Any
S-54,Project Lead,"ai, ui",5,Junior,Wipro,Any
S-55,Cyber Security Analyst,"scala, ai, ui, excel",10,Mid-level,Wipro,Any
S-56,Cyber Security Analyst,"scala, ai, ui, excel",13,Senior,Wipro,Any
S-57,Senior Consultant-Technology & Implementation,"ai, ui, excel",15,Senior,Wipro,Any
S-58,Configurator,"ai, ui, excel",3,Junior,Wipro,Any
S-59,Lead Administrator,"scala, ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-60,Manager – Learning and Development (I&D),"ai, ui, excel",10,Mid-level,Wipro,Any
S-61,Lead Administrator,"scala, ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-62,Project Lead,"ai, ui",6,Mid-level,Wipro,Any
S-63,Developer,"ai, ui, excel",3,Junior,Wipro,Any
S-64,Cyber Security Analyst,"scala, ai, ui, excel",5,Junior,Wipro,Any
S-65,Developer,"ai, ui, excel",13,Senior,Wipro,Any
S-66,Service Delivery Lead,"scala, ai, ui, excel",13,Senior,Wipro,Any
S-67,Configurator,"ai, ui, excel",8,Mid-level,Wipro,Any
S-68,ArtificiaI Intelligence Lead,"ai, ui, excel, ml",13,Senior,Wipro,Any
S-69,Application Architect,"scala, ai, ui, excel, ml",14,Senior,Wipro,Any
S-70,Developer,"sql, ai, ui",9,Mid-level,Wipro,Any
S-71,AWS Senior Cloud Developer,"ai, ui, excel",4,Junior,Wipro,Any
S-73,Developer,sql,15,Senior,Wipro,Any
S-74,System Engineer,"scala, ai, ui, excel",2,Entry level,Wipro,Any
S-75,Lead Administrator,"scala, ai, ui, excel",5,Junior,Wipro,Any
S-76,Cyber Security Architect,"ai, ui, excel",3,Junior,Wipro,Any
S-77,Presales Manager_F&A,"react, ai, ui, excel, ml",9,Mid-level,Wipro,Any
S-78,Cyber Security Architect,"ai, excel",5,Junior,Wipro,Any
S-79,Cyber Security Analyst,"scala, ai, ui, excel",3,Junior,Wipro,Any
S-80,Senior Consultant-Technology & Implementation,"ai, ui, excel",15,Senior,Wipro,Any
S-81,Cyber Security Architect,"ai, ui, excel",7,Mid-level,Wipro,Any
S-82,Lead Administrator,"scala, ai, ui, excel",7,Mid-level,Wipro,Any
S-83,Infrastructure Architect,"ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-84,System Engineer,"scala, ai, ui, excel",5,Junior,Wipro,Any
S-85,Citrix Admin-Administrator,"scala, ai, ui",7,Mid-level,Wipro,Any
S-86,Technical Lead,"scala, ai, ui, excel, ml",14,Senior,Wipro,Any
S-87,Developer,"ai, ui, excel",3,Junior,Wipro,Any
S-88,Cyber Security Analyst,"scala, ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-89,AI/ML - Data Scientist,"python, ai, ui, tableau, excel, ml",13,Senior,Wipro,Any
S-90,Pre-Sales Consultant,"ai, ui",3,Junior,Wipro,Any
S-91,Big Data Developer,"ai, ui, excel",11,Mid-Senior level,Wipro,Any
S-92,DevOps Lead,"scala, ai, ui, excel, ml",15,Senior,Wipro,Any
S-93,Managing Consultant-Technology & Implementation,"ai, ui, excel",5,Junior,Wipro,Any
S-94,Domain Architect,"scala, ai, ui, excel, ml",15,Senior,Wipro,Any
S-95,Data Analytics Architect,"scala, ai, ui, excel",9,Mid-level,Wipro,Any
S-96,Scrum Master,ai,15,Senior,Wipro,Any
S-97,Test Engineer,"java, javascript, ai, nodejs, excel",8,Mid-level,Wipro,Any
S-98,Lead Developer,"ai, ui, excel",13,Senior,Wipro,Any
S-99,Tools Consultant,"ai, ui, excel",10,Mid-level,Wipro,Any
S-100,Cyber Security Analyst,"scala, ai, ui, excel",15,Senior,Wipro,Any
S-101,DevOps Engineer,python,9,Mid-level,Wipro,Any
S-102,Java Developer,"java, css, html, ml",6,Mid-level,LTIMindtree,Any
S-103,Java Developer,"java, css, html, ml",14,Senior,LTIMindtree,Any
S-104,Opening for Scrum Master,ui,3,Junior,LTIMindtree,Any
S-105,PLSQL Development - LTIMindtree.,"java, sql, css, ai, ui, html, ml",6,Mid-level,LTIMindtree,Any
S-106,Java Developer,"java, css, html, ml",9,Mid-level,LTIMindtree,Any
S-107,Opening for Database Developer,"sql, ai, ui",11,Mid-Senior level,LTIMindtree,Any
S-108,PL/PM (Scrum Master),ui,10,Mid-level,LTIMindtree,Any
S-109,Program Manager,"ai, ui, excel",13,Senior,LTIMindtree,Any
S-110,Java Developer,"java, sql, linux, ai",13,Senior,LTIMindtree,Any
S-111,BA-P and C Insurance-Billing,"sql, ui, ml",13,Senior,LTIMindtree,Any
S-112,Scrum Master,"ai, ui, excel",14,Senior,LTIMindtree,Any
S-113,Scrum Master,"ai, ui, excel",10,Mid-level,LTIMindtree,Any
S-114,Oracle EBS Apps Technical Consultant,"sql, ui, excel, ml",14,Senior,LTIMindtree,Any
S-115,Workday Consultant,"scala, ai, ui",14,Senior,LTIMindtree,Any
S-116,Workday Consultant,"scala, ai, ui",2,Entry level,LTIMindtree,Any
S-117,"Opening for Oracle Fusion HCM Technical Analyst in LTIM, India","sql, ui",10,Mid-level,LTIMindtree,Any
S-118,Workday Consultant,"scala, ai, ui",8,Mid-level,LTIMindtree,Any
S-119,Java Developer,"java, sql, linux, ai",10,Mid-level,LTIMindtree,Any
S-120,Workday Consultant,"scala, ai, ui",9,Mid-level,LTIMindtree,Any
S-121,Looking for Senior Manager - Program and Project Management,ui,2,Entry level,LTIMindtree,Any
S-122,Oracle EBS Apps Technical Consultant,"sql, ui, excel, ml",13,Senior,LTIMindtree,Any
S-123,PL/PM (Scrum Master),ui,9,Mid-level,LTIMindtree,Any
S-124,Business Analyst,"ai, ui",9,Mid-level,LTIMindtree,Any
S-125,Workday Consultant,"scala, ai, ui",12,Mid-Senior level,LTIMindtree,Any
S-126,Workday Consultant,"scala, ai, ui",4,Junior,LTIMindtree,Any
S-127,Obiee Developer,ai,2,Entry level,LTIMindtree,Any
S-128,Obiee Developer,ai,9,Mid-level,LTIMindtree,Any
