job_id,job_title,skills,years_exp_num,experience_level,company,mandatory_qualification
IT-1,Software Engineer,"c#, git, java, sql",11,Mid-Senior level,EY,Any
IT-2,Software Engineer,"c#, git, java, python, sql",10,Mid-Senior level,Stripe,Any
IT-3,Software Engineer,"c#, git, java, sql",10,Mid-Senior level,Infosys,Any
IT-4,Senior Software Engineer,"aws, git, microservices, python",20,Senior,Salesforce,Any
IT-5,Senior Software Engineer,"aws, c++, git, java, microservices, python",15,Senior,Tesla,Any
IT-6,Senior Software Engineer,"java, microservices, python, sql",20,Senior,Figma,Any
IT-7,Full Stack Developer,"html, javascript, mongodb, react",10,Mid-Senior level,GitHub,Any
IT-8,Full Stack Developer,"css, javascript, mongodb, node.js, react, sql",3,Junior,Microsoft,Any
IT-9,Full Stack Developer,"css, mongodb, react, sql",7,Mid-level,Amazon,Any
IT-10,Frontend Developer,"html, javascript, vue, webpack",4,Junior,Shopify,Any
IT-11,Frontend Developer,"angular, css, html, javascript, react, vue, webpack",10,Mid-Senior level,Apple,Any
IT-12,Frontend Developer,"angular, css, html, javascript, vue, webpack",8,Mid-level,Broadcom,Any
IT-13,Backend Developer,"java, microservices, mongodb, python, rest api, sql",11,Mid-Senior level,Elastic,Any
IT-14,Backend Developer,"java, microservices, mongodb, node.js, python, rest api, sql",5,Mid-level,Cisco,Any
IT-15,Backend Developer,"microservices, mongodb, python, sql",4,Junior,Databricks,Any
IT-16,Web Developer,"css, javascript, php, sql, wordpress",7,Mid-level,IBM,Any
IT-17,Web Developer,"html, javascript, php, sql, wordpress",11,Mid-Senior level,GitHub,Any
IT-18,Web Developer,"html, javascript, php, sql, wordpress",11,Mid-Senior level,Palantir,Any
IT-19,Mobile Developer,"flutter, java, kotlin, swift",13,Mid-Senior level,Qualcomm,Any
IT-20,Mobile Developer,"java, kotlin, sql, swift",5,Mid-level,LinkedIn,Any
IT-21,Mobile Developer,"flutter, kotlin, react native, sql, swift",4,Junior,SendGrid,Any
IT-22,Ios Developer,"cocoapods, git, swift, xcode",12,Mid-Senior level,Canva,Any
IT-23,Ios Developer,"cocoapods, objective-c, swift, xcode",3,Junior,Slack,Any
